Feature Identifier,Old Location,Old Behavior Summary,New Location,Parity Status,Risk Level,Notes,Acceptance Test Steps
AUTH-EMAIL,app__disabled/_login_disabled/page.js + /api/auth/login,Supports email/password login with error handling and redirects,app/login/page.js + /api/auth/login,Complete,Medium,Legacy login UI restored with forgot-password entry and logout handler; ensure session cookie persists.,1) Attempt login with valid email/password 2) Confirm redirect to /dashboard 3) Attempt login with invalid password and verify inline error.
AUTH-GOOGLE,app__disabled/_login_disabled (NextAuth button) + /api/auth/[...nextauth],Google OAuth sign-in auto-creates user with credits,app/login/page.js + /api/auth/[...nextauth],Partial,High,NextAuth config exists but requires GOOGLE_* secrets and QA coverage; new UI depends on restored google-icon asset.,1) Configure GOOGLE_CLIENT_ID/SECRET and NEXTAUTH_* vars 2) Click "Sign in with Google" 3) Verify new user redirected to /dashboard with credits initialized.
AUTH-PASSWORD-RESET,app__disabled/api/auth/forgot-password + reset-password page,Sends reset email and allows password change,app/reset-password/page.js + /api/auth/forgot-password + /api/auth/reset-password,Complete,Medium,Email + token flow restored; requires RESEND_API_KEY for delivery.,1) Trigger password reset for existing user 2) Receive email with token 3) Submit new password and confirm login succeeds.
DASHBOARD-CORE,app__disabled/_dashboard_disabled/page.js,Displays stats, tarot selector, credit widgets, upsells,help system,app/dashboard/page.js (DashboardShell + DashboardV3),Partial,Medium,Layout modernized but lacks tarot selector modal, help system, and premium upsells from legacy.,1) Log in as seeded user 2) Load /dashboard and verify stats/reading history populate 3) Confirm loading and error states render on network failure.
DASHBOARD-TAROT-INTERACTIVE,InteractiveTarotSelector + /api/readings/create,Allows manual card selection and logs reading,N/A,Missing,High,Endpoint and UI removed; tarot selection CTA now dead-end.,1) Click "Get Your Reading" on dashboard 2) Select cards 3) Persist reading and view result modal.
READINGS-GENERATE,app__disabled/api/readings/generate,Generates AI tarot reading and deducts credits,app/api/readings/generate/route.js,Complete,Medium,Parity requires credits schema alignment and OpenAI failover behavior.,1) Call POST /api/readings/generate with valid auth 2) Ensure reading saved in DB 3) Verify credits deducted or admin bypass works.
READINGS-HISTORY,ReadingHistory section in legacy dashboard,List, filter, favorite readings,DashboardV3/ReadingHistory.jsx + /api/readings + /api/user/favorites,Complete,Low,Ensure favorites and filters behave with new API format.,1) Ensure seeded readings exist 2) Load dashboard history 3) Toggle favorites and filter by type.
READINGS-FAVORITES,/api/user/favorites + UI toggles,Add/remove reading favorites,N/A (Dashboard history + API),Complete,Medium,API migrated; needs regression on new structure.,1) POST to /api/user/favorites with reading id 2) Verify GET includes favorite 3) DELETE and confirm removal.
CREDITS-BALANCE,/api/credits + CreditManagementWidget,Shows credit totals, daily refresh logic,app/api/credits/route.js + dashboard widgets,Complete,Medium,Legacy credit accounting reinstated (includes monthly allocations); requires running dashboard_migration.sql.,1) Seed paid & free credits in DB 2) Hit /api/credits and ensure totals correct 3) Verify daily refresh adds free credits once per day.
CREDITS-PURCHASE,/api/credits/purchase + credits page,Buy credit packs via Stripe checkout,app/credits/page.js + /api/credits/purchase + /api/stripe-webhook,Complete,High,Stripe credit pack flow restored; webhook adds credits post-payment.,1) Attempt to buy credit pack 2) Checkout via Stripe 3) Credits increase after webhook.
SUBSCRIPTION-MGMT,/subscription page + /api/create-subscription + /api/stripe,Manage premium plan and billing portal,app/subscription/page.js + /api/create-subscription + /api/stripe,Complete,High,Checkout session + webhook reinstated; ensure STRIPE_* envs configured.,1) Start subscription checkout 2) Complete Stripe session 3) Confirm subscription status updates and billing portal accessible.
FORECASTS,forecasts pages + /api/forecasts* endpoints,Daily persona forecasts with preferences,N/A,Missing,High,Forecast APIs/pages removed; cron jobs rely on missing endpoints.,1) Set forecast preferences 2) Generate forecast 3) Verify dashboard shows new content.
TRANSIT-TRACKER,/transits page + /api/transits*,Real-time transit tracking and subscriptions,N/A,Missing,High,Transit schema & cron endpoints removed; critical premium feature.,1) Subscribe to transit alerts 2) Run cron 3) Confirm notifications stored and surfaced.
AI-COACH,/coach page + /api/coach/daily,Provides AI guidance per day,N/A,Missing,Medium,Feature removed entirely; must port or flag.,1) Visit /coach 2) Request guidance 3) Verify response stored and displayed.
COMPATIBILITY-REPORT,/compatibility page + payment endpoints,Generates compatibility reading and handles payments,app/compatibility/page.js + /api/compatibility + /api/create-compatibility-payment,Complete,High,Interactive compatibility report flow restored (uses credits/subscription gating).,1) Enter partner data 2) Generate compatibility report 3) Review generated report.
BIRTH-CHART-UI,/birth-chart page + API,Collects user birth data and displays chart,N/A (API only),Missing,Medium,API exists but no UI to capture data.,1) Open /birth-chart form 2) Submit data 3) View generated chart and interpretation.
BLOG-CMS,/admin/blog pages + /api/blog*,Admin CRUD for blog posts,app/blog/* + /api/blog/* + /admin/blog/*,Complete,Medium,Blog management + public routes restored; ensure admin auth + Cloudinary env set.,1) Create blog post 2) Publish and fetch via slug 3) Verify listings & categories update.
ADMIN-PORTAL,/admin suite pages + endpoints,Admin user/credit/settings management,app/admin/** + /api/admin/*,Complete,High,Legacy admin console reinstated with RBAC; requires admin user seeded.,1) Login as admin 2) Manage users/credits 3) Update settings and verify persistence.
CONTACT-FORM,/contact page + /api/contact,Sends contact email to support,N/A,Missing,Low,Contact channel removed; use alternative.,1) Submit contact form 2) Confirm email delivered 3) Response stored/logged.
UPLOAD-IMAGE,/api/upload/image + UI,Uploads images to Cloudinary for blog/profile,N/A,Missing,Medium,Cloudinary integration unused; endpoints removed.,1) Upload sample image 2) Verify Cloudinary asset created 3) Persist URL in DB.
CRON-JOBS,render.yaml hitting /api/cron/* endpoints,Scheduled horoscopes/forecasts cleanup,app/api/cron/*,Complete,High,Cron endpoints restored with secret validation; update render.yaml to point at new paths.,1) Execute cron curl 2) Confirm 200 response 3) Verify tables updated.
REWARDS,Dashboard rewards widget + /api/rewards/claim,Claims daily bonus and updates streak,DashboardV3 components + /api/rewards/claim,Partial,Medium,API exists but UI wiring to claim flow incomplete.,1) Trigger claim action 2) Confirm credits/streak update 3) Re-attempt and ensure idempotency.
STREAK-TRACKING,/api/streak + dashboard badges,Shows current and longest streak,N/A (API + header),Partial,Medium,API added but DashboardHeader display limited without old badges.,1) Seed streak data 2) Load dashboard header 3) Verify streak numbers and zero-state.
JOURNAL,/api/journal + dashboard save to journal,Saves readings to journal history,app/api/journal/route.js (mock response),Missing,Medium,New API returns stub; no DB persistence.,1) Save reading to journal 2) Fetch entries 3) Confirm data stored per user.
PROFILE-MGMT,/profile page + /api/auth/user PUT,Allows editing profile and password,N/A (only API),Missing,Medium,UI removed; update endpoint untested.,1) Load profile UI 2) Update profile fields 3) Confirm data stored and reflected.

